,000001.SZ,000002.SZ,000004.SZ,000005.SZ,000006.SZ,000007.SZ,000008.SZ,000009.SZ,000010.SZ
2010-01-04,580249471.5,1034344760.4,0.0,133478420.69999999,70548557.2,18101416.099999998,0.0,189401385.4,22836715.0
2010-01-05,1293476939.1000001,1910014362.6000001,0.0,391575200.4,142031422.3,26452001.9,0.0,332003950.5,20520165.700000003
2010-01-06,944453697.3,1405756551.4,0.0,305132857.7,150037732.3,31525583.0,0.0,246690071.6,17627535.5
2010-01-07,804166315.8,1188788368.7,0.0,186543381.7,110237229.60000001,19476530.0,0.0,506484111.3,25100012.599999998
2010-01-08,650667404.9,1117118356.9,0.0,98244699.39999999,97512126.9,10811247.2,0.0,610549123.0,12451285.700000001
2010-01-11,1009985566.5,1758363763.3,0.0,124734044.6,97820359.1,14405194.2,0.0,401631399.0,22754048.0
2010-01-12,1310068993.8,1548907861.8000002,0.0,263919918.59999996,296197241.09999996,14219297.4,0.0,345836758.8,38195797.400000006
2010-01-13,1990492740.3,1892537894.8999999,0.0,169096858.6,143953717.8,18938695.599999998,0.0,457186495.0,32593381.6
2010-01-14,1089329453.8,1192832689.3,0.0,301657362.90000004,163880059.79999998,16234240.299999999,0.0,226482560.3,37270610.3
2010-01-15,1146375321.1999998,1196520947.6999998,0.0,191947636.5,181116227.3,24154953.8,0.0,629832273.0,38402458.3
2010-01-18,749941265.7,1259938027.8,0.0,223818095.89999998,133363669.8,57843424.6,0.0,509639623.9,61163529.5
2010-01-19,1438886704.0,1073060078.6999999,0.0,171512645.9,112472011.89999999,0.0,0.0,548477397.0999999,42038785.0
2010-01-20,1079325997.0,1719444677.9,0.0,195763183.7,169007928.79999998,49439390.099999994,6277293.0,626739310.1,46579966.699999996
2010-01-21,1405279426.6,1018079494.7,0.0,94586656.9,78930589.0,20913793.3,1690116.0,348392086.4,35016891.4
2010-01-22,2002921979.0,1079530132.5,0.0,132297979.30000001,115029745.89999999,26555530.5,71696954.6,246624375.8,45036916.9
