,000001.SZ,000002.SZ,000004.SZ,000005.SZ,000006.SZ,000007.SZ,000008.SZ,000009.SZ,000010.SZ
2010-01-04,23.71,10.6,10.0,5.99,11.12,6.93,12.28,10.84,11.81
2010-01-05,23.3,10.36,10.0,6.2,10.8,7.19,12.28,10.56,11.6
2010-01-06,22.9,10.36,10.0,6.08,10.83,7.19,12.28,10.55,11.72
2010-01-07,22.65,10.28,10.0,5.83,10.74,6.98,12.28,10.75,11.26
2010-01-08,22.6,10.35,10.0,5.89,11.0,7.03,12.28,11.27,11.46
2010-01-11,22.6,10.18,10.0,5.82,10.71,7.07,12.28,11.05,11.54
2010-01-12,22.45,10.29,10.0,6.13,11.18,7.15,12.28,11.33,11.88
2010-01-13,20.96,10.04,10.0,6.04,10.82,6.96,12.28,10.73,11.79
2010-01-14,20.97,10.03,10.0,6.07,10.88,7.13,12.28,10.87,11.92
2010-01-15,21.43,10.14,10.0,6.09,11.09,7.33,12.28,11.44,12.02
2010-01-18,21.47,10.09,10.0,6.22,11.24,7.7,12.28,11.75,12.45
2010-01-19,22.23,10.06,10.0,6.1,11.17,7.7,12.28,11.83,12.2
2010-01-20,21.38,9.76,10.0,5.89,10.69,7.32,11.67,11.76,12.01
2010-01-21,22.68,9.8,10.0,5.89,10.88,7.4,11.09,11.78,12.32
2010-01-22,23.08,9.55,10.0,5.64,10.46,7.2,10.86,11.28,12.33
2010-01-25,22.19,9.52,10.0,5.45,10.27,7.05,10.35,10.62,12.35
2010-01-26,22.05,9.22,10.0,5.15,9.85,6.75,9.83,10.11,11.73
2010-01-27,21.91,9.29,10.0,5.11,9.91,7.09,9.62,10.27,11.27
2010-01-28,21.75,9.41,10.0,5.13,10.01,7.11,9.61,10.49,11.29
2010-01-29,21.7,9.34,10.0,5.39,9.96,6.91,9.63,10.43,11.42
2010-02-01,21.24,9.41,10.0,5.43,10.28,7.01,9.89,10.46,11.75
2010-02-02,21.37,9.28,10.0,5.29,10.17,6.91,9.89,10.28,11.85
2010-02-03,22.58,9.45,10.0,5.3,10.35,6.91,9.93,10.65,11.85
2010-02-04,22.2,9.41,10.0,5.52,10.44,6.96,9.95,11.72,12.08
2010-02-05,22.0,9.2,10.0,5.39,10.04,6.81,10.12,11.18,11.9
2010-02-08,21.56,9.12,10.0,5.42,9.99,6.82,10.13,10.8,11.88
2010-02-09,22.0,9.09,10.0,5.26,9.92,6.86,10.13,10.52,11.45
2010-02-10,22.28,9.21,10.0,5.31,10.06,6.92,10.22,10.65,11.82
2010-02-11,22.11,9.28,9.5,5.31,10.13,6.94,10.23,10.58,11.96
2010-02-12,22.45,9.37,9.17,5.35,10.14,7.27,10.36,10.86,11.96
2010-02-22,22.1,9.26,9.22,5.31,9.98,7.34,10.3,10.55,12.04
2010-02-23,21.55,9.13,9.1,5.28,9.92,7.35,10.25,10.71,11.99
2010-02-24,21.71,9.23,9.4,5.45,10.11,7.46,10.46,11.07,12.37
2010-02-25,22.15,9.48,9.87,5.65,10.11,7.7,10.69,11.19,12.4
2010-02-26,22.45,9.43,10.36,5.59,10.38,7.77,11.1,11.31,12.49
2010-03-01,22.45,9.44,10.88,5.74,10.39,7.82,11.3,11.4,12.45
2010-03-02,23.11,9.61,11.42,5.8,10.52,7.64,11.87,11.52,13.07
2010-03-03,23.3,9.58,11.28,5.84,10.55,7.77,11.9,11.96,13.06
2010-03-04,23.1,9.39,11.18,6.1,10.4,7.71,11.53,11.58,12.41
2010-03-05,23.27,9.36,10.9,6.15,10.39,7.56,11.75,11.46,12.49
2010-03-08,23.85,9.39,11.45,6.44,10.53,7.55,12.2,11.85,12.6
2010-03-09,23.82,9.62,12.02,6.49,11.04,7.52,12.38,11.75,12.53
2010-03-10,23.4,9.48,11.9,6.16,10.87,7.61,12.14,11.35,12.59
2010-03-11,23.66,9.5,12.2,5.99,11.04,7.64,12.02,11.35,12.87
2010-03-12,22.92,9.36,11.6,6.05,11.09,7.42,11.61,11.17,13.09
2010-03-15,22.39,9.24,11.3,5.92,11.25,7.26,11.54,10.95,12.92
2010-03-16,22.55,9.27,11.56,6.09,11.1,7.3,11.66,11.0,12.85
2010-03-17,23.19,9.44,11.55,6.21,11.6,7.48,11.94,11.26,13.03
2010-03-18,23.05,9.54,11.45,6.16,11.86,7.48,12.08,11.34,13.06
2010-03-19,23.04,9.62,11.35,6.18,11.95,7.6,12.35,11.52,13.23
2010-03-22,23.15,9.52,11.47,6.1,11.95,7.58,12.31,11.44,13.69
2010-03-23,22.83,9.52,11.32,6.09,11.69,7.49,12.28,11.14,13.72
2010-03-24,22.8,9.4,11.32,6.19,11.78,7.5,12.45,11.22,13.66
2010-03-25,22.3,9.24,11.0,5.87,11.71,7.32,12.26,11.14,13.98
2010-03-26,22.81,9.3,11.17,5.93,11.9,7.39,12.29,11.31,14.09
2010-03-29,23.56,9.54,11.29,5.96,12.09,7.4,12.9,11.42,13.92
2010-03-30,23.65,9.49,11.38,5.96,12.02,7.49,12.94,11.53,13.85
2010-03-31,23.2,9.5,11.38,5.96,11.97,7.55,13.04,11.89,13.8
2010-04-01,23.4,9.73,11.42,6.07,12.25,7.75,13.18,12.24,14.16
