,000001.SZ,000002.SZ,000004.SZ,000005.SZ,000006.SZ,000007.SZ,000008.SZ,000009.SZ,000010.SZ
2010-01-04,24.52,10.85,10.0,6.01,11.33,7.09,12.28,11.0,11.95
2010-01-05,23.75,10.51,10.0,5.95,11.12,6.94,12.28,10.89,11.81
2010-01-06,23.25,10.35,10.0,6.13,10.79,7.17,12.28,10.56,11.61
2010-01-07,22.9,10.36,10.0,6.03,10.85,7.16,12.28,10.44,11.73
2010-01-08,22.5,10.28,10.0,5.8,10.7,6.94,12.28,10.7,11.15
2010-01-11,23.5,10.52,10.0,5.9,11.18,7.04,12.28,11.36,11.68
2010-01-12,22.57,10.13,10.0,5.8,10.87,7.07,12.28,11.07,11.65
2010-01-13,21.87,9.94,10.0,6.0,10.92,7.0,12.28,10.99,11.66
2010-01-14,21.0,10.04,10.0,5.99,10.9,6.98,12.28,10.7,11.77
2010-01-15,21.02,10.06,10.0,6.07,10.95,7.14,12.28,10.91,11.96
2010-01-18,21.43,10.14,10.0,6.08,11.02,7.5,12.28,11.43,12.02
2010-01-19,21.58,10.1,10.0,6.21,11.31,7.7,12.28,11.88,12.45
2010-01-20,22.22,10.08,10.0,6.1,11.25,7.72,11.67,11.76,12.19
2010-01-21,21.58,9.76,10.0,5.85,10.8,7.32,11.09,11.7,11.98
2010-01-22,22.44,9.68,10.0,5.81,10.68,7.32,10.54,11.5,12.1
2010-01-25,22.6,9.52,10.0,5.6,10.44,7.19,10.44,11.26,12.29
2010-01-26,22.19,9.52,10.0,5.45,10.3,7.0,10.31,10.61,12.31
2010-01-27,22.39,9.25,10.0,5.15,9.9,6.88,9.61,10.1,11.73
2010-01-28,21.8,9.27,10.0,5.11,9.95,7.14,9.63,10.25,11.18
2010-01-29,21.59,9.35,10.0,5.1,9.95,7.0,9.56,10.43,11.23
2010-02-01,21.71,9.3,10.0,5.4,9.98,6.9,9.67,10.38,11.4
2010-02-02,21.26,9.43,10.0,5.43,10.32,7.0,9.92,10.53,11.68
2010-02-03,21.53,9.26,10.0,5.29,10.21,6.89,9.98,10.28,11.85
2010-02-04,22.33,9.4,10.0,5.26,10.28,6.88,9.9,10.55,11.88
2010-02-05,21.62,9.26,10.0,5.34,10.24,6.8,9.84,11.74,11.81
2010-02-08,21.88,9.19,10.0,5.33,10.14,6.8,10.0,11.08,11.9
2010-02-09,21.6,9.12,10.0,5.4,9.99,6.81,10.13,10.9,11.81
2010-02-10,22.2,9.14,10.0,5.28,10.0,6.84,10.15,10.6,11.5
2010-02-11,22.21,9.23,9.5,5.32,10.08,6.92,10.28,10.65,11.75
2010-02-12,22.17,9.37,9.1,5.35,10.18,7.04,10.23,10.65,12.0
2010-02-22,22.31,9.29,9.09,5.33,10.14,7.2,10.33,10.7,11.89
2010-02-23,22.03,9.27,9.1,5.31,9.97,7.28,10.22,10.53,12.08
2010-02-24,21.41,9.09,9.1,5.21,9.8,7.3,10.25,10.72,11.92
2010-02-25,21.67,9.28,9.44,5.49,10.11,7.47,10.54,11.2,12.31
2010-02-26,22.01,9.49,9.96,5.63,10.39,7.72,10.61,11.16,12.38
2010-03-01,22.45,9.43,10.62,5.54,10.19,8.15,11.09,11.24,12.53
2010-03-02,22.89,9.45,10.95,5.73,10.39,7.75,11.42,11.35,12.41
2010-03-03,23.11,9.62,11.38,5.75,10.52,7.62,11.94,11.5,13.01
2010-03-04,23.32,9.57,11.21,6.4,10.54,8.08,11.8,11.89,12.91
2010-03-05,23.1,9.38,11.03,6.0,10.39,7.72,11.5,11.56,12.41
2010-03-08,23.32,9.36,10.96,6.77,10.47,7.56,11.79,11.66,12.52
2010-03-09,23.88,9.39,11.8,6.28,10.49,7.55,12.08,11.77,12.6
2010-03-10,23.71,9.63,12.23,6.37,11.0,7.52,12.28,11.74,12.5
2010-03-11,23.55,9.48,11.8,6.18,10.87,7.6,12.3,11.35,12.59
2010-03-12,23.55,9.49,12.2,5.99,11.05,7.63,12.05,11.32,12.9
2010-03-15,22.88,9.35,11.6,5.96,11.16,7.4,11.5,11.17,12.96
2010-03-16,22.39,9.28,11.3,5.92,11.26,7.26,11.58,10.95,12.86
2010-03-17,22.62,9.34,11.55,6.07,11.57,7.36,11.64,11.1,12.85
2010-03-18,23.25,9.46,11.62,6.21,11.61,7.48,12.0,11.28,13.18
2010-03-19,23.05,9.58,11.44,6.16,11.9,7.5,12.07,11.34,12.97
2010-03-22,22.93,9.63,11.37,6.17,11.94,7.6,12.36,11.62,13.17
2010-03-23,23.2,9.52,11.45,6.12,11.95,7.56,12.3,11.48,13.65
2010-03-24,22.85,9.45,11.32,6.1,11.73,7.5,12.28,11.24,13.6
