,000001.SZ,000002.SZ,000004.SZ,000005.SZ,000006.SZ,000007.SZ,000008.SZ,000009.SZ,000010.SZ
2010-01-04,24192276.0,96983253.0,0.0,22358222.0,6299805.0,2590179.0,0.0,17362671.0,1920679.0
2010-01-05,55649981.99999999,184862078.0,0.0,64425242.00000001,13129946.0,3780937.0000000005,0.0,31463320.0,1762318.9999999998
2010-01-06,41214313.0,135860406.0,0.0,49403408.0,13836029.999999998,4360825.0,0.0,23408440.0,1515349.0
2010-01-07,35533685.0,115244198.0,0.0,31441723.0,10224620.0,2744108.0,0.0,47286323.0,2203319.0
2010-01-08,28854306.0,108530422.0,0.0,16789249.0,8975737.0,1554091.0,0.0,55376907.99999999,1101912.0
2010-01-11,44284602.0,171300598.0,0.0,21423341.0,9046725.0,2030359.0,0.0,35949329.0,1960475.9999999998
2010-01-12,59179591.0,152072507.0,0.0,43905550.0,26905846.000000004,2007230.0,0.0,30818403.000000004,3256611.0
2010-01-13,93503947.0,189279180.0,0.0,28289944.0,13197985.999999998,2714673.0,0.0,42202056.0,2757609.0
2010-01-14,52119474.0,119251386.00000001,0.0,49753677.0,15166731.0,2287967.0,0.0,20968417.0,3140613.0
2010-01-15,53950846.0,117924785.00000001,0.0,31356614.0,16302504.999999998,3313440.0,0.0,55553336.0,3195771.0
2010-01-18,34912652.0,125174542.0,0.0,36265414.0,11933846.0,7539962.0,0.0,43466278.0,4963599.0
2010-01-19,65071514.0,106404387.99999999,0.0,28076618.0,10040020.0,0.0,0.0,45600201.0,3424110.0
2010-01-20,49083567.0,173747654.0,0.0,32719438.0,15525176.999999998,6644744.0,537900.0,52412453.0,3835180.0000000005
2010-01-21,63230130.00000001,104828454.0,0.0,16058834.0,7302795.0,2840855.0,152400.0,29869218.0,2896684.0
2010-01-22,88253896.0,112539343.0,0.0,23299250.0,10912474.0,3697200.0,6743781.0,21743695.0,3664982.0
2010-01-25,35605864.0,60170836.0,0.0,15888400.0,5241948.0,2215580.0,5061932.0,26727524.0,2859112.0
2010-01-26,34532556.0,105503878.0,0.0,16997017.0,6756814.0,2696793.0,2988029.0,18500082.0,3254033.0
2010-01-27,40103476.0,95500379.0,0.0,12025534.0,5526738.0,2156306.0,1659354.0,17438021.0,2002937.0
2010-01-28,26213249.0,84094753.0,0.0,11319487.0,5323070.0,5152203.0,1802941.9999999998,9917137.0,1319510.0
2010-01-29,24068821.0,79150682.0,0.0,25105340.0,5617354.0,2985270.0,2132590.0,14017941.0,1566582.0
2010-02-01,28317990.999999996,97805799.0,0.0,31967643.0,10448105.0,2266571.0,1975580.0,18627319.0,1773347.0
2010-02-02,28673359.999999996,75391813.0,0.0,14146035.999999998,8713345.0,1539500.0,1010826.0,14740990.0,2074464.0
2010-02-03,54900574.0,81877756.0,0.0,15150453.0,6742192.999999999,1694223.0,1769784.9999999998,25911083.0,0.0
2010-02-04,30334603.000000004,82951326.0,0.0,41761281.0,13197538.0,1858553.0,1944213.0,111980726.0,2783312.0
2010-02-05,27617400.0,68799966.0,0.0,19441479.0,7538797.0,1698568.9999999998,1744674.0000000002,106650902.0,2079016.0
2010-02-08,20642307.0,53959165.0,0.0,9991111.0,3846387.0000000005,891703.0000000001,987969.0,44087202.0,1756109.0
2010-02-09,24817026.0,44903405.0,0.0,14393121.0,4578457.0,932992.0,0.0,27566339.0,1631153.0
2010-02-10,25383964.0,45054154.0,0.0,7262150.0,3855931.0,996882.0,987419.0,16080509.0,1336165.0
2010-02-11,13910229.0,52912190.0,3714043.0,6876283.0,5356115.0,1301732.0,654061.0,13740431.0,1473817.0
2010-02-12,18838563.0,42057817.0,3212676.0,9507736.0,4141385.0,3198051.0,891996.9999999999,17734806.0,1490080.0
2010-02-22,16577759.0,34771729.0,2481310.0,10225944.0,4661152.0,4264917.0,780316.0,19826890.0,1644024.0000000002
2010-02-23,23778128.0,43217474.0,1790455.0,9383602.0,3979732.0,2419724.0,690046.0,16552975.0,1125623.0
2010-02-24,23148645.0,47976791.0,1311133.0,21331211.0,5457492.0,2894723.0,844452.0,26824723.0,2555370.0
2010-02-25,34787898.0,103274391.0,2814377.0,32339474.0,0.0,6404017.0,942442.0,31558889.0,1695325.0
2010-02-26,45021730.0,67820433.0,2127937.0,19397749.0,19484239.0,5960393.0,1661670.0,36467271.0,1802358.0000000002
2010-03-01,0.0,70822803.0,1678906.0000000002,26636168.0,9865822.0,13191487.0,2131949.0,29718020.0,1919306.0000000002
2010-03-02,68464727.0,131501065.99999999,5131644.0,41138308.0,11893442.0,6182638.0,2545424.0,33740200.0,6874049.000000001
