,000001.SZ,000002.SZ,000004.SZ,000005.SZ,000006.SZ,000007.SZ,000008.SZ,000009.SZ,000010.SZ
2010-01-04,24.58,10.87,10.0,6.05,11.35,7.09,12.28,11.03,12.08
2010-01-05,23.9,10.52,10.0,6.32,11.18,7.19,12.28,10.95,11.85
2010-01-06,23.25,10.51,10.0,6.28,11.04,7.3,12.28,10.75,11.73
2010-01-07,23.05,10.43,10.0,6.07,10.96,7.24,12.28,11.09,11.77
2010-01-08,22.75,10.38,10.0,5.93,11.0,7.05,12.28,11.32,11.46
2010-01-11,23.68,10.6,10.0,5.96,11.18,7.16,12.28,11.52,11.75
2010-01-12,22.65,10.37,10.0,6.16,11.18,7.18,12.28,11.37,11.93
2010-01-13,21.9,10.08,10.0,6.08,11.05,7.05,12.28,11.1,11.98
2010-01-14,21.16,10.08,10.0,6.14,10.93,7.16,12.28,10.94,11.95
2010-01-15,21.65,10.23,10.0,6.2,11.27,7.38,12.28,11.55,12.15
2010-01-18,21.76,10.19,10.0,6.25,11.28,7.7,12.28,11.96,12.58
2010-01-19,22.34,10.16,10.0,6.22,11.34,7.7,12.28,12.33,12.5
2010-01-20,22.6,10.1,10.0,6.15,11.27,7.75,11.67,12.25,12.35
2010-01-21,22.8,9.87,10.0,5.96,10.99,7.49,11.09,11.94,12.38
2010-01-22,23.45,9.73,10.0,5.82,10.85,7.33,11.09,11.68,12.68
2010-01-25,23.1,9.65,10.0,5.67,10.48,7.19,10.57,11.26,12.85
2010-01-26,22.59,9.59,10.0,5.51,10.34,7.11,10.43,10.72,12.39
2010-01-27,22.6,9.46,10.0,5.24,10.08,7.09,9.83,10.52,11.76
2010-01-28,22.05,9.48,10.0,5.18,10.07,7.39,9.77,10.6,11.49
2010-01-29,22.35,9.53,10.0,5.41,10.17,7.08,10.0,10.73,11.45
2010-02-01,21.77,9.53,10.0,5.5,10.4,7.09,9.95,10.7,11.81
2010-02-02,21.96,9.55,10.0,5.46,10.43,7.08,10.05,10.85,12.07
2010-02-03,22.58,9.48,10.0,5.35,10.4,6.97,10.06,10.7,11.85
2010-02-04,22.45,9.53,10.0,5.77,10.8,7.05,10.12,11.72,12.14
2010-02-05,22.32,9.32,10.0,5.47,10.26,6.86,10.16,12.1,12.06
2010-02-08,22.08,9.22,10.0,5.51,10.14,6.86,10.16,11.2,12.1
2010-02-09,22.15,9.16,10.0,5.45,10.05,6.87,10.13,11.06,11.9
2010-02-10,22.38,9.24,10.0,5.34,10.06,6.95,10.33,10.7,11.83
2010-02-11,22.35,9.35,9.94,5.37,10.17,7.05,10.43,10.8,12.05
2010-02-12,22.6,9.37,9.34,5.35,10.19,7.27,10.39,10.95,12.05
2010-02-22,22.45,9.35,9.3,5.37,10.14,7.59,10.4,10.76,12.17
2010-02-23,22.05,9.27,9.22,5.33,9.98,7.38,10.3,10.75,12.08
2010-02-24,21.79,9.24,9.45,5.45,10.12,7.49,10.58,11.09,12.45
2010-02-25,22.41,9.5,9.87,5.76,10.11,7.75,10.79,11.44,12.46
2010-02-26,22.62,9.52,10.36,5.76,10.62,7.79,11.21,11.56,12.6
2010-03-01,22.45,9.48,10.88,5.74,10.4,8.16,11.66,11.49,12.59
2010-03-02,23.96,9.66,11.42,5.93,10.6,7.78,11.87,11.78,13.07
2010-03-03,23.35,9.63,11.41,5.86,10.55,7.77,12.25,12.16,13.2
2010-03-04,23.63,9.69,11.46,6.42,11.0,8.1,11.98,12.43,13.09
2010-03-05,23.49,9.45,11.2,6.19,10.46,7.79,11.99,11.86,12.55
2010-03-08,24.05,9.45,11.45,6.77,10.65,7.66,12.34,11.94,12.69
2010-03-09,24.27,9.7,12.02,6.62,11.1,7.6,12.49,12.14,12.6
2010-03-10,24.08,9.64,12.55,6.47,11.01,7.69,12.45,11.84,12.61
2010-03-11,23.97,9.56,12.5,6.22,11.15,7.67,12.3,11.35,13.0
2010-03-12,23.55,9.49,12.2,6.16,11.43,7.68,12.05,11.38,13.3
2010-03-15,22.88,9.36,11.61,6.1,11.25,7.4,11.73,11.17,13.09
2010-03-16,22.63,9.33,11.84,6.12,11.48,7.37,11.69,11.04,12.98
2010-03-17,23.2,9.46,11.75,6.26,11.76,7.55,11.96,11.33,13.04
2010-03-18,23.5,9.67,11.75,6.29,12.04,7.6,12.14,11.52,13.35
2010-03-19,23.2,9.7,11.58,6.23,12.05,7.62,12.35,11.54,13.34
2010-03-22,23.42,9.67,11.49,6.18,12.15,7.69,12.6,11.62,13.88
2010-03-23,23.26,9.52,11.45,6.17,11.95,7.62,12.4,11.48,13.8
2010-03-24,23.2,9.51,11.46,6.25,11.85,7.57,12.55,11.34,13.75
2010-03-25,22.77,9.4,11.34,6.19,11.87,7.5,12.6,11.27,14.13
2010-03-26,23.09,9.34,11.25,6.03,12.0,7.46,12.46,11.34,14.17
2010-03-29,23.86,9.58,11.35,5.98,12.14,7.45,12.9,11.46,14.18
2010-03-30,23.78,9.58,11.38,5.98,12.09,7.55,13.08,11.66,13.95
2010-03-31,23.67,9.63,11.38,6.05,12.09,7.57,13.27,12.04,13.97
2010-04-01,23.6,9.75,11.48,6.1,12.3,7.8,13.2,12.33,14.2
2010-04-02,23.5,9.85,11.58,6.13,12.56,7.85,13.78,12.43,14.46
2010-04-06,23.86,9.83,11.57,6.09,12.38,7.84,14.27,12.58,14.65
2010-04-07,23.43,9.62,11.73,5.97,11.99,7.94,14.93,12.46,14.77
2010-04-08,22.83,9.45,11.8,5.96,11.86,7.94,14.36,12.12,14.88
2010-04-09,22.74,9.41,11.92,5.9,11.87,7.92,14.5,12.27,14.73
2010-04-12,22.76,9.44,12.39,5.9,11.78,8.14,14.44,12.26,15.34
2010-04-13,22.61,9.29,12.6,5.72,11.45,8.11,14.29,12.15,15.37
2010-04-14,22.45,9.23,12.38,5.73,11.53,8.0,13.99,12.19,14.89
2010-04-15,22.4,9.17,12.29,5.91,11.45,8.18,14.08,12.02,15.02
2010-04-16,22.28,9.11,12.09,5.93,11.3,8.15,14.01,11.96,14.78
2010-04-19,21.58,8.9,11.87,5.94,11.06,8.0,14.43,11.7,14.83
2010-04-20,20.33,8.28,11.54,5.63,10.38,7.74,14.25,11.05,14.26
2010-04-21,20.16,8.15,11.91,5.6,10.34,7.74,13.9,11.56,14.74
2010-04-22,20.0,8.1,12.07,5.52,10.25,7.83,14.57,12.09,14.63
2010-04-23,20.56,7.97,11.78,5.54,10.15,7.85,14.58,12.07,14.63
2010-04-26,20.35,7.98,11.38,5.36,10.03,7.98,14.2,11.83,14.63
2010-04-27,20.21,7.8,11.07,5.13,9.75,8.28,13.49,11.92,14.63
2010-04-28,20.18,7.8,11.12,5.02,9.84,8.22,12.94,12.32,14.63
2010-04-29,20.63,7.87,11.17,5.07,9.87,8.22,13.18,12.37,14.63
2010-04-30,20.59,7.84,10.9,4.92,9.65,8.22,12.92,11.55,14.63
2010-05-04,20.3,7.7,10.19,4.74,9.4,8.22,12.35,11.4,14.63
2010-05-05,20.22,7.54,10.34,4.78,9.06,8.22,12.64,11.39,14.63
2010-05-06,19.69,7.45,10.29,4.76,8.96,8.2,12.87,11.19,14.63
2010-05-07,18.55,7.3,10.08,4.6,8.76,7.55,12.66,10.88,14.63
2010-05-10,18.68,7.37,10.04,4.56,9.01,7.39,13.02,10.61,14.63
2010-05-11,18.89,7.45,10.1,4.62,9.18,7.22,13.61,10.43,14.63
2010-05-12,18.3,7.4,9.87,4.51,8.99,7.02,13.76,9.89,14.63
2010-05-13,18.92,7.42,9.54,4.51,5.84,6.98,13.76,9.53,14.63
2010-05-14,18.69,7.38,9.82,4.53,5.7,6.93,13.76,9.71,14.63
2010-05-17,18.02,7.26,9.7,4.46,5.54,6.82,13.76,9.58,14.63
2010-05-18,18.11,7.44,9.35,4.27,5.48,6.62,13.76,9.2,14.63
2010-05-19,18.17,7.38,9.08,4.19,5.42,6.71,13.76,9.26,14.63
2010-05-20,18.05,7.29,8.98,4.1,5.34,7.05,13.76,9.09,14.63
2010-05-21,17.87,7.43,8.45,4.09,5.42,7.1,13.76,9.14,14.63
2010-05-24,18.6,7.82,8.82,4.28,5.84,6.97,13.76,9.78,14.63
2010-05-25,18.25,7.57,8.86,4.22,5.67,7.3,13.76,9.96,14.63
2010-05-26,18.17,7.53,8.82,4.24,5.64,7.13,13.76,9.74,14.63
2010-05-27,18.12,7.57,9.16,4.43,5.65,7.11,13.76,10.17,14.63
2010-05-28,18.39,7.61,9.08,4.57,5.67,7.23,13.76,10.46,14.63
2010-05-31,18.2,7.49,9.52,4.68,5.67,7.25,13.76,10.37,14.63
2010-06-01,17.69,7.25,9.12,4.26,5.41,7.06,13.76,9.8,14.63
2010-06-02,17.41,7.29,8.88,4.25,5.46,7.11,13.76,9.9,14.63
2010-06-03,17.71,7.38,9.3,4.33,5.59,7.18,13.76,10.03,14.63
2010-06-04,17.5,7.36,9.2,4.28,5.52,7.27,13.76,9.75,14.63
2010-06-07,17.3,7.19,9.16,4.16,5.37,7.18,13.76,9.6,14.63
2010-06-08,17.02,7.19,9.35,4.21,5.37,7.15,13.76,9.56,14.63
2010-06-09,17.79,7.32,9.49,4.46,5.58,7.18,13.76,10.05,14.63
2010-06-10,17.47,7.26,9.67,4.34,5.52,7.52,13.76,10.04,14.63
2010-06-11,17.46,7.2,9.58,4.3,5.53,7.65,13.07,10.03,14.63
2010-06-17,17.15,7.19,9.72,4.25,5.56,7.82,12.42,9.99,14.63
2010-06-18,17.75,7.23,9.56,4.29,5.63,7.66,11.8,10.1,14.63
2010-06-21,18.52,7.39,9.5,4.3,5.87,7.45,11.47,10.07,14.63
2010-06-22,18.82,7.34,9.53,4.33,5.85,7.5,11.56,10.2,14.63
2010-06-23,18.62,7.34,9.43,4.44,5.81,7.45,11.44,10.04,14.63
2010-06-24,18.81,7.26,9.49,4.39,5.9,7.58,11.19,10.05,14.63
2010-06-25,18.5,7.21,9.4,4.29,5.79,7.57,11.23,9.86,14.63
2010-06-28,18.6,7.18,9.29,4.22,5.74,7.59,10.8,9.75,14.63
2010-06-29,18.53,7.15,9.2,4.16,5.63,7.4,10.62,9.53,14.63
2010-06-30,17.51,6.9,8.7,3.89,5.25,7.09,9.95,8.6,14.63
2010-07-01,17.51,6.83,8.52,3.92,5.27,7.12,9.89,8.64,14.63
2010-07-02,17.51,6.98,8.48,3.92,5.42,7.02,9.98,8.13,14.63
2010-07-05,17.51,7.06,8.26,3.85,5.42,6.97,9.98,7.8,14.63
2010-07-06,17.51,7.16,8.42,3.88,5.48,7.08,10.14,8.08,14.63
2010-07-07,17.51,7.12,8.6,3.92,5.59,7.09,10.39,8.34,14.63
2010-07-08,17.51,7.19,8.6,4.04,5.7,7.18,10.33,8.36,14.63
2010-07-09,17.51,7.33,8.82,4.04,5.74,7.24,10.38,9.11,14.63
2010-07-12,17.51,7.74,8.96,4.17,5.91,7.28,10.55,9.3,14.63
2010-07-13,17.51,7.53,8.8,4.03,5.75,7.19,10.4,9.19,14.63
2010-07-14,17.51,7.63,8.84,4.15,5.7,7.2,10.35,9.39,14.63
2010-07-15,17.51,7.76,8.88,4.06,5.74,7.09,10.33,9.22,14.63
2010-07-16,17.51,7.72,8.77,3.94,5.63,6.98,10.17,9.01,14.63
2010-07-19,17.51,7.85,9.14,4.04,5.82,7.08,10.35,9.24,14.63
2010-07-20,17.51,7.94,9.18,4.14,6.4,7.25,10.52,9.54,14.63
2010-07-21,17.51,7.81,9.18,4.15,6.43,7.25,10.74,9.85,14.63
2010-07-22,17.51,8.02,9.54,4.18,6.42,7.23,10.7,9.82,14.63
2010-07-23,17.51,8.09,9.59,4.35,6.85,7.29,10.82,9.88,14.63
2010-07-26,17.51,8.04,9.74,4.39,7.54,7.25,10.95,9.94,14.63
2010-07-27,17.51,8.23,9.6,4.43,8.16,7.38,10.95,9.84,14.63
2010-07-28,17.51,8.35,9.66,4.73,8.7,7.38,11.17,10.25,14.63
2010-07-29,17.51,8.38,9.67,4.9,9.45,7.47,11.26,10.1,14.63
2010-07-30,17.51,8.32,9.68,4.77,9.15,7.65,11.15,10.07,14.63
2010-08-02,17.51,8.36,9.83,4.89,9.03,7.62,11.24,10.18,14.63
2010-08-03,17.51,8.55,9.85,4.79,9.1,7.64,11.28,10.24,14.63
2010-08-04,17.51,8.35,9.64,4.66,9.07,7.5,11.07,10.15,14.63
2010-08-05,17.51,8.3,9.76,4.66,9.09,7.51,11.04,10.2,14.63
2010-08-06,17.51,8.02,9.84,4.57,9.05,7.5,11.43,10.17,14.63
2010-08-09,17.51,8.05,10.28,4.76,9.11,7.56,11.38,10.16,14.63
2010-08-10,17.51,7.96,10.49,4.75,9.07,7.62,11.34,10.19,14.63
2010-08-11,17.51,8.36,10.29,4.67,8.14,7.41,11.15,9.79,14.63
2010-08-12,17.51,8.64,10.09,4.79,8.31,7.36,11.27,9.87,14.63
2010-08-13,17.51,8.86,10.09,4.78,8.4,7.49,11.33,10.2,14.63
2010-08-16,17.51,8.95,10.37,4.79,8.53,7.63,11.36,10.64,14.63
2010-08-17,17.51,9.02,10.4,4.84,8.8,7.6,11.51,10.72,14.63
2010-08-18,17.51,8.98,10.38,4.78,8.53,7.78,11.44,10.97,14.63
2010-08-19,17.51,8.93,10.57,4.73,8.6,7.74,11.78,10.93,14.63
