,000001.SZ,000002.SZ,000004.SZ,000005.SZ,000006.SZ,000007.SZ,000008.SZ,000009.SZ,000010.SZ
2010-01-04,23.68,10.6,10.0,5.91,11.11,6.9,12.28,10.8,11.79
2010-01-05,22.75,10.2,10.0,5.83,10.66,6.83,12.28,10.46,11.52
2010-01-06,22.72,10.2,10.0,6.06,10.72,7.12,12.28,10.37,11.55
2010-01-07,22.4,10.24,10.0,5.82,10.6,6.92,12.28,10.28,11.13
2010-01-08,22.35,10.19,10.0,5.74,10.65,6.83,12.28,10.55,11.03
2010-01-11,22.28,10.08,10.0,5.76,10.67,7.02,12.28,10.96,11.48
2010-01-12,21.8,9.98,10.0,5.75,10.78,7.0,12.28,11.0,11.47
2010-01-13,20.8,9.89,10.0,5.9,10.8,6.9,12.28,10.55,11.66
2010-01-14,20.6,9.91,10.0,5.95,10.67,6.98,12.28,10.5,11.68
2010-01-15,20.65,10.04,10.0,6.0,10.92,7.14,12.28,10.88,11.85
2010-01-18,21.21,9.99,10.0,6.06,10.96,7.44,12.28,11.32,12.02
2010-01-19,21.56,10.03,10.0,6.06,11.09,7.7,12.28,11.77,12.13
2010-01-20,21.3,9.73,10.0,5.88,10.66,7.32,11.67,11.58,11.73
2010-01-21,21.38,9.63,10.0,5.81,10.66,7.23,11.09,11.32,11.86
2010-01-22,21.88,9.5,10.0,5.5,10.21,7.08,10.54,11.03,11.92
2010-01-25,22.1,9.45,10.0,5.42,10.26,6.96,10.32,10.58,12.1
2010-01-26,21.6,9.18,10.0,5.06,9.76,6.7,9.83,10.0,11.73
2010-01-27,21.7,9.19,10.0,5.03,9.75,6.78,9.43,9.97,11.21
2010-01-28,21.11,9.19,10.0,5.03,9.83,7.08,9.37,10.16,11.18
2010-01-29,21.32,9.3,10.0,5.05,9.85,6.75,9.5,10.27,11.23
2010-02-01,21.0,9.09,10.0,5.24,9.76,6.85,9.6,10.0,11.38
2010-02-02,21.26,9.28,10.0,5.28,10.15,6.9,9.8,10.21,11.68
2010-02-03,21.24,9.13,10.0,5.06,9.81,6.57,9.4,9.98,11.85
2010-02-04,22.01,9.3,10.0,5.16,10.17,6.81,9.74,10.5,11.8
2010-02-05,21.41,9.15,10.0,5.29,9.95,6.7,9.7,11.07,11.65
2010-02-08,21.45,9.08,10.0,5.33,9.94,6.76,9.9,10.66,11.78
2010-02-09,21.53,9.03,10.0,5.22,9.87,6.79,10.13,10.4,11.36
2010-02-10,22.02,9.1,10.0,5.26,9.9,6.83,10.07,10.46,11.48
2010-02-11,22.08,9.18,9.5,5.3,10.03,6.9,10.15,10.52,11.69
2010-02-12,22.17,9.31,9.03,5.26,10.08,7.0,10.15,10.55,11.85
2010-02-22,22.08,9.25,8.82,5.24,9.95,7.2,10.13,10.48,11.88
2010-02-23,21.4,9.09,8.88,5.19,9.75,7.12,10.01,10.5,11.8
2010-02-24,21.22,9.05,9.02,5.21,9.8,7.21,10.14,10.68,11.92
2010-02-25,21.61,9.28,9.35,5.47,10.11,7.38,10.41,10.98,12.12
2010-02-26,21.98,9.4,9.87,5.53,10.36,7.55,10.61,11.09,12.3
2010-03-01,22.45,9.34,10.6,5.53,10.18,7.7,11.02,11.07,12.41
2010-03-02,22.89,9.45,10.95,5.65,10.26,7.61,11.29,11.29,12.41
2010-03-03,22.8,9.5,11.0,5.74,10.31,7.53,11.82,11.35,12.77
2010-03-04,23.0,9.36,11.0,6.05,10.35,7.69,11.31,11.55,12.41
2010-03-05,23.05,9.3,10.63,5.76,10.28,7.54,11.37,11.45,12.16
2010-03-08,23.06,9.3,10.85,6.4,10.42,7.52,11.55,11.5,12.49
2010-03-09,23.5,9.28,11.6,6.2,10.43,7.42,12.08,11.64,12.32
2010-03-10,23.35,9.46,11.72,6.08,10.75,7.45,11.8,11.3,12.36
2010-03-11,23.39,9.4,11.8,5.89,10.8,7.51,11.73,11.35,12.52
2010-03-12,22.88,9.35,11.59,5.84,10.94,7.42,11.48,11.05,12.77
2010-03-15,22.2,9.2,11.21,5.91,10.87,7.19,11.24,10.83,12.63
2010-03-16,22.24,9.19,11.3,5.88,10.95,7.21,11.38,10.8,12.45
2010-03-17,22.46,9.26,11.1,6.01,11.4,7.3,11.56,11.0,12.78
2010-03-18,22.98,9.43,11.39,6.12,11.6,7.42,11.94,11.22,13.04
2010-03-19,22.7,9.56,11.34,6.13,11.75,7.49,11.98,11.28,12.95
2010-03-22,22.93,9.47,11.05,6.08,11.9,7.55,12.25,11.37,13.11
2010-03-23,22.71,9.52,11.25,6.07,11.66,7.48,12.01,11.12,13.52
2010-03-24,22.74,9.37,11.26,6.04,11.7,7.47,12.18,11.14,13.46
2010-03-25,22.28,9.23,10.91,5.86,11.64,7.3,12.1,11.03,13.59
2010-03-26,22.17,9.12,10.79,5.84,11.66,7.29,12.13,11.08,13.9
2010-03-29,22.79,9.32,11.1,5.89,11.86,7.35,12.22,11.23,13.61
2010-03-30,23.34,9.44,11.2,5.9,11.93,7.39,12.75,11.38,13.68
2010-03-31,23.08,9.44,11.38,5.93,11.92,7.41,12.87,11.52,13.7
2010-04-01,23.07,9.48,11.16,5.95,11.97,7.55,12.9,11.8,13.71
2010-04-02,23.21,9.69,11.32,6.02,12.21,7.69,13.06,12.18,14.1
2010-04-06,23.26,9.53,11.36,5.9,11.92,7.73,13.38,12.01,14.1
2010-04-07,22.68,9.44,11.46,5.9,11.64,7.78,14.1,12.08,14.2
2010-04-08,22.32,9.3,11.48,5.83,11.7,7.73,13.9,11.7,14.52
2010-04-09,22.5,9.31,11.5,5.82,11.67,7.72,14.1,11.71,14.34
2010-04-12,21.94,9.18,11.92,5.65,11.19,7.9,13.95,11.85,14.8
2010-04-13,22.05,9.1,11.75,5.5,11.16,7.64,13.57,11.66,14.57
2010-04-14,22.03,9.13,12.03,5.53,11.28,7.78,13.4,11.81,14.55
2010-04-15,21.98,9.07,11.89,5.61,11.21,7.93,13.7,11.58,14.15
2010-04-16,21.98,8.95,11.78,5.69,11.3,7.86,13.57,11.4,14.15
2010-04-19,19.99,8.26,11.4,5.44,10.2,7.67,13.6,10.68,14.03
2010-04-20,19.5,7.82,11.0,5.3,9.95,7.42,13.25,10.57,13.5
2010-04-21,19.6,7.96,11.37,5.38,9.9,7.58,13.4,10.82,13.96
2010-04-22,19.31,7.85,11.69,5.34,9.93,7.61,13.73,11.28,14.63
2010-04-23,19.39,7.83,11.15,5.3,9.91,7.6,13.98,11.65,14.63
2010-04-26,19.7,7.79,10.8,5.15,9.66,7.63,13.4,11.42,14.63
2010-04-27,19.55,7.6,10.53,4.87,9.47,7.71,12.75,11.45,14.63
2010-04-28,19.6,7.62,10.66,4.9,9.54,8.22,12.36,11.6,14.63
2010-04-29,20.13,7.75,10.9,4.92,9.62,8.22,12.31,11.3,14.63
2010-04-30,20.14,7.68,10.36,4.71,9.4,8.22,12.11,10.88,14.63
2010-05-04,19.77,7.41,9.84,4.6,8.71,8.22,11.88,10.88,14.63
2010-05-05,19.36,7.15,9.62,4.54,8.51,8.22,12.05,10.41,14.63
2010-05-06,18.31,7.18,9.8,4.56,8.43,7.81,12.41,10.77,14.63
2010-05-07,17.95,7.0,9.69,4.39,8.21,7.42,12.09,10.3,14.63
2010-05-10,18.19,7.22,9.6,4.44,8.63,7.05,12.29,9.66,14.63
2010-05-11,17.46,7.2,9.82,4.41,8.71,7.03,13.0,9.67,14.63
2010-05-12,17.16,7.17,9.4,4.36,8.7,6.71,13.18,9.34,14.63
2010-05-13,18.0,7.28,9.54,4.38,5.59,6.64,13.76,8.9,14.63
2010-05-14,18.2,7.27,9.54,4.43,5.61,6.93,13.76,9.23,14.63
2010-05-17,17.34,6.9,9.22,4.07,5.05,6.58,13.76,8.87,14.63
2010-05-18,17.3,6.83,8.76,3.91,5.02,6.25,13.76,8.66,14.63
2010-05-19,17.41,7.09,8.55,4.01,5.2,6.46,13.76,8.7,14.63
2010-05-20,17.48,7.09,8.45,3.92,5.18,6.75,13.76,8.71,14.63
2010-05-21,17.02,6.9,8.03,3.81,5.0,6.66,13.76,8.35,14.63
2010-05-24,17.92,7.43,8.25,4.1,5.5,6.97,13.76,9.16,14.63
2010-05-25,17.75,7.38,8.57,4.11,5.45,7.01,13.76,9.4,14.63
2010-05-26,17.81,7.33,8.63,4.12,5.5,7.0,13.76,9.44,14.63
2010-05-27,17.46,7.25,8.7,4.12,5.4,6.91,13.76,9.51,14.63
2010-05-28,18.02,7.35,9.08,4.23,5.51,7.03,13.76,9.96,14.63
2010-05-31,17.5,7.21,9.0,4.36,5.46,7.02,13.76,9.74,14.63
2010-06-01,17.19,7.1,8.69,4.09,5.17,6.78,13.76,9.19,14.63
2010-06-02,16.92,7.08,8.52,4.11,5.22,6.85,13.76,9.38,14.63
2010-06-03,17.22,7.19,8.88,4.18,5.4,7.0,13.76,9.7,14.63
2010-06-04,17.16,7.16,8.81,4.11,5.29,6.95,13.76,9.48,14.63
2010-06-07,16.81,7.1,8.9,4.05,5.25,7.04,13.76,9.21,14.63
2010-06-08,16.5,7.06,8.98,4.07,5.23,7.01,13.76,9.39,14.63
2010-06-09,16.58,7.06,9.14,4.13,5.29,7.08,13.76,9.55,14.63
2010-06-10,17.08,7.13,9.26,4.23,5.42,7.1,13.76,9.8,14.63
2010-06-11,17.0,7.1,9.45,4.2,5.42,7.32,13.07,9.78,14.63
2010-06-17,17.15,7.08,9.5,4.25,5.46,7.49,12.42,9.84,14.63
2010-06-18,17.15,7.05,9.2,4.06,5.45,7.17,11.8,9.6,14.63
2010-06-21,17.31,7.06,9.14,4.06,5.46,7.2,11.21,9.5,14.63
2010-06-22,18.11,7.26,9.3,4.22,5.72,7.36,11.0,9.87,14.63
2010-06-23,18.13,7.15,9.26,4.23,5.66,7.31,11.05,9.7,14.63
2010-06-24,18.23,7.14,9.3,4.27,5.74,7.33,11.03,9.88,14.63
2010-06-25,18.03,7.11,9.2,4.12,5.65,7.41,10.66,9.58,14.63
2010-06-28,18.05,7.1,9.15,4.1,5.56,7.37,10.35,9.4,14.63
2010-06-29,17.5,6.83,8.79,3.85,5.28,7.01,9.9,8.6,14.63
2010-06-30,17.51,6.76,8.35,3.77,5.09,6.74,9.44,8.6,14.63
2010-07-01,17.51,6.65,8.11,3.8,5.09,6.93,9.55,8.0,14.63
2010-07-02,17.51,6.69,7.96,3.61,5.07,6.63,9.09,7.38,14.63
2010-07-05,17.51,6.8,8.02,3.69,5.19,6.7,9.52,7.46,14.63
2010-07-06,17.51,6.96,8.16,3.72,5.32,6.93,9.78,7.66,14.63
2010-07-07,17.51,6.98,8.39,3.82,5.42,6.99,9.9,7.93,14.63
2010-07-08,17.51,7.05,8.38,3.92,5.5,7.02,10.15,8.03,14.63
2010-07-09,17.51,7.01,8.5,3.87,5.5,7.1,9.9,8.19,14.63
2010-07-12,17.51,7.19,8.62,3.98,5.65,7.15,10.22,8.85,14.63
2010-07-13,17.51,7.42,8.47,3.91,5.48,7.04,9.95,8.72,14.63
2010-07-14,17.51,7.35,8.6,3.91,5.54,7.04,10.18,8.98,14.63
2010-07-15,17.51,7.4,8.6,3.91,5.52,6.92,10.05,8.8,14.63
2010-07-16,17.51,7.38,8.51,3.81,5.45,6.78,9.81,8.72,14.63
2010-07-19,17.51,7.54,8.65,3.86,5.5,6.88,9.95,8.82,14.63
2010-07-20,17.51,7.73,9.0,3.98,6.01,7.06,10.25,9.17,14.63
2010-07-21,17.51,7.69,9.09,4.05,6.27,7.15,10.32,9.45,14.63
2010-07-22,17.51,7.69,9.11,4.09,6.25,7.15,10.48,9.39,14.63
2010-07-23,17.51,7.91,9.45,4.06,6.35,7.17,10.55,9.57,14.63
2010-07-26,17.51,7.89,9.46,4.2,6.78,7.25,10.77,9.75,14.63
2010-07-27,17.51,7.95,9.46,4.29,7.54,7.23,10.7,9.57,14.63
2010-07-28,17.51,8.01,9.35,4.26,8.02,7.2,10.7,9.59,14.63
2010-07-29,17.51,8.23,9.5,4.63,8.56,7.31,10.95,9.82,14.63
2010-07-30,17.51,8.21,9.43,4.65,8.8,7.35,10.78,9.78,14.63
2010-08-02,17.51,8.23,9.6,4.58,8.64,7.45,10.92,9.91,14.63
2010-08-03,17.51,8.25,9.63,4.61,8.76,7.39,10.95,9.97,14.63
2010-08-04,17.51,8.0,9.36,4.47,8.62,7.34,10.67,9.83,14.63
2010-08-05,17.51,7.9,9.5,4.52,8.72,7.38,10.85,9.96,14.63
2010-08-06,17.51,7.78,9.58,4.41,8.68,7.36,10.79,9.77,14.63
2010-08-09,17.51,7.87,9.8,4.5,8.74,7.47,11.21,9.99,14.63
2010-08-10,17.51,7.96,10.0,4.51,8.13,7.3,11.02,9.7,14.63
2010-08-11,17.51,7.7,9.99,4.46,7.94,7.25,10.91,9.43,14.63
2010-08-12,17.51,8.18,9.88,4.5,7.95,7.23,10.91,9.49,14.63
2010-08-13,17.51,8.36,9.8,4.55,8.18,7.27,10.8,9.6,14.63
2010-08-16,17.51,8.65,10.02,4.66,8.14,7.45,11.13,10.16,14.63
2010-08-17,17.51,8.81,10.24,4.72,8.32,7.5,11.2,10.41,14.63
2010-08-18,17.51,8.72,10.08,4.66,8.25,7.5,11.26,10.33,14.63
2010-08-19,17.51,8.64,10.35,4.62,8.32,7.6,11.34,10.64,14.63
2010-08-20,17.51,8.63,10.45,4.64,8.0,7.42,11.16,10.53,14.63
2010-08-23,17.51,8.44,10.42,5.01,8.09,7.5,11.1,10.83,14.63
2010-08-24,17.51,8.46,10.52,4.89,8.0,7.45,11.47,10.92,14.63
2010-08-25,17.51,8.45,10.73,4.85,8.01,7.46,11.66,10.65,14.63
2010-08-26,17.51,8.45,10.9,4.76,7.93,7.45,11.61,10.5,14.63
2010-08-27,17.51,8.39,11.33,4.79,7.94,7.63,12.09,10.41,14.63
2010-08-30,17.51,8.22,11.38,4.77,7.96,7.65,12.41,10.68,14.63
2010-08-31,17.51,8.32,11.25,4.8,8.05,7.76,12.15,11.0,14.63
2010-09-01,17.51,8.3,10.82,4.7,8.05,7.51,12.08,10.6,14.63
2010-09-02,17.89,8.51,10.95,4.71,8.1,7.74,12.23,10.87,14.63
2010-09-03,17.67,8.41,10.9,4.73,7.96,7.82,12.2,11.03,14.63
2010-09-06,17.77,8.5,11.07,4.8,7.96,7.88,12.37,11.54,14.63
2010-09-07,17.94,8.71,11.01,4.82,8.04,7.75,12.6,11.62,14.63
2010-09-08,17.51,8.47,11.08,4.72,8.04,7.77,12.79,12.2,14.63
2010-09-09,17.17,8.26,11.2,4.57,7.77,7.71,12.82,12.34,14.63
2010-09-10,17.0,8.04,11.25,4.4,7.26,7.53,12.5,12.43,14.63
2010-09-13,16.78,8.06,11.57,4.47,7.35,7.69,12.94,12.5,14.63
2010-09-14,17.09,8.18,11.35,4.51,7.4,7.75,12.98,12.8,14.63
2010-09-15,16.92,8.12,11.26,4.46,7.4,7.78,12.51,11.91,14.63
2010-09-16,16.55,7.98,10.88,4.29,7.26,7.55,11.99,11.35,14.63
2010-09-17,16.61,8.04,10.96,4.32,7.4,7.56,12.0,11.44,14.63
2010-09-20,16.51,8.01,11.01,4.28,7.11,7.68,12.39,11.26,14.63
2010-09-21,16.55,8.08,11.05,4.29,7.11,7.66,12.28,11.31,14.63
2010-09-27,16.43,7.8,11.23,4.28,6.9,7.6,12.84,11.5,14.63
2010-09-28,16.26,7.84,11.38,4.28,6.98,7.85,12.68,11.7,14.63
2010-09-29,16.11,7.79,11.41,4.23,6.91,7.93,12.85,11.73,14.63
2010-09-30,16.22,7.64,11.3,4.15,7.06,8.06,12.82,11.38,14.63
2010-10-08,16.5,8.15,11.32,4.29,7.22,8.2,13.12,11.79,14.63
2010-10-11,17.32,8.37,11.3,4.4,7.63,8.03,13.2,11.98,14.63
2010-10-12,17.8,8.67,11.2,4.4,7.49,8.05,13.21,11.75,14.63
2010-10-13,17.97,8.82,11.13,4.41,7.58,8.4,13.12,11.69,14.63
2010-10-14,18.31,9.3,10.78,4.4,7.67,8.1,12.74,11.0,14.63
2010-10-15,18.18,9.3,10.6,4.32,7.53,8.0,12.34,10.95,14.63
2010-10-18,19.1,9.5,10.33,4.29,7.7,7.76,11.85,10.75,14.63
2010-10-19,18.83,9.15,10.44,4.37,7.91,7.88,12.05,10.84,14.63
2010-10-20,19.15,8.6,10.6,4.31,7.56,7.86,12.2,11.1,14.63
2010-10-21,18.77,8.69,11.35,4.28,7.4,8.1,12.35,11.78,14.63
2010-10-22,18.33,8.8,11.92,4.31,7.37,8.1,12.41,12.07,14.63
