,0
2010-03-02,102275.37923458297
2010-03-03,196218.8290788752
2010-03-04,202027.90414570423
2010-03-05,-284966.00040513073
2010-03-08,181208.95300354232
2010-03-09,89238.3096059917
2010-03-10,136488.70102158166
2010-03-11,-123073.46572468313
2010-03-12,32949.69835237316
2010-03-15,-187008.38704057137
2010-03-16,-100812.61504145432
2010-03-17,137633.51916689944
2010-03-18,181171.04461093477
2010-03-19,5148.35768137088
2010-03-22,85807.27047422717
2010-03-23,18259.68697947592
2010-03-24,-98915.7218120569
2010-03-25,22752.319761098934
2010-03-26,-161986.14877866357
2010-03-29,150984.60498347838
2010-03-30,143917.67239544206
2010-03-31,17417.372367783802
2010-04-01,38969.13868553844
2010-04-02,195012.15158340725
2010-04-06,41504.03223733487
2010-04-07,47403.38936036821
2010-04-08,-57446.40444540001
2010-04-09,-118305.87450872039
2010-04-12,168458.50760712477
2010-04-13,-65460.535476911806
2010-04-14,-126787.96966431863
2010-04-15,73093.58881355851
2010-04-16,-91550.56210620662
2010-04-19,-98755.11120515554
2010-04-20,-497908.0304602376
2010-04-21,-84672.37104916194
2010-04-22,245804.85669207526
2010-04-23,12278.595649109993
2010-04-26,-119438.34103588882
2010-04-27,-153627.82116880507
2010-04-28,-114169.38951369817
2010-04-29,238493.27062400492
2010-04-30,-189837.416113035
2010-05-04,-274526.04639583547
2010-05-05,-115572.80742071898
2010-05-06,144322.25084590886
2010-05-07,-524323.890325391
2010-05-10,79209.05010371178
2010-05-11,225884.24294645354
2010-05-12,-301029.97292906005
2010-05-13,-345330.55937285564
2010-05-14,42623.39956345146
2010-05-17,-118453.06944971278
2010-05-18,-426273.9251935676
2010-05-19,130867.33313583962
2010-05-20,-43469.92224790433
2010-05-21,-282184.39807775157
2010-05-24,466611.59231841005
2010-05-25,248940.32588167815
2010-05-26,-97412.01519014622
2010-05-27,-27203.85020255244
2010-05-28,246956.86934104306
2010-05-31,55160.11178600136
2010-06-01,-326534.26351168647
2010-06-02,-101515.43037221997
2010-06-03,226759.70052078593
2010-06-04,-146592.04480794256
2010-06-07,20750.189301761446
2010-06-08,-77255.23859570401
2010-06-09,64738.88724358545
2010-06-10,179208.40271364304
2010-06-11,-12419.747346386945
2010-06-17,1422.15029036127
2010-06-18,-128976.17225121844
2010-06-21,-147005.80700135528
2010-06-22,253322.21172419365
2010-06-23,18586.07112850228
2010-06-24,-17849.57892615306
2010-06-25,-24945.1954837728
2010-06-28,-98197.97750224739
2010-06-29,-97093.9505099957
2010-06-30,-560255.1661028008
2010-07-01,-78110.81733825494
2010-07-02,-99844.81599661584
2010-07-05,-15097.239869155106
2010-07-06,88218.66256009563
2010-07-07,159701.56761944285
2010-07-08,152615.85855805097
2010-07-09,-14924.798743221925
2010-07-12,193933.7943203649
2010-07-13,80736.428369073
2010-07-14,-107786.8616571527
2010-07-15,52192.32562148795
2010-07-16,-128808.76045171375
2010-07-19,5712.000753131521
2010-07-20,321800.19406003115
2010-07-21,208270.81585202398
2010-07-22,-59509.548578861526
2010-07-23,195632.70622597492
2010-07-26,150854.09196945996
2010-07-27,132322.6366275068
2010-07-28,47010.482356151806
2010-07-29,403851.8458170277
2010-07-30,-38515.2611110185
2010-08-02,31253.5259657065
2010-08-03,63292.11797861642
2010-08-04,-142367.62517852877
2010-08-05,37099.76533140829
2010-08-06,-78424.32562265031
2010-08-09,107019.78908759424
2010-08-10,95437.94685734804
2010-08-11,-313069.28070764366
2010-08-12,52977.94740121003
2010-08-13,78419.23084770214
2010-08-16,204786.5738337582
2010-08-17,140276.05183406497
2010-08-18,12509.42481334999
2010-08-19,31931.106802187518
2010-08-20,-25370.001254849052
2010-08-23,77865.17357077051
2010-08-24,26121.85422111042
2010-08-25,70228.8560543128
2010-08-26,-108069.35547325388
2010-08-27,72733.49418920805
2010-08-30,87230.71289735551
2010-08-31,58169.23734025647
2010-09-01,-5012.392613667727
2010-09-02,32086.45921652681
2010-09-03,7246.280594509286
2010-09-06,151906.69751302627
2010-09-07,2478.0081695062468
2010-09-08,52054.28288097626
2010-09-09,-41696.24612281108
2010-09-10,-160183.3774560381
2010-09-13,-21981.877700491623
2010-09-14,103752.83922503819
2010-09-15,-9706.819912525583
2010-09-16,-233075.829304967
2010-09-17,-155029.02931992643
2010-09-20,96303.87558474344
2010-09-21,-109448.22620021633
2010-09-27,55167.08588402867
2010-09-28,75793.00043233957
2010-09-29,-89907.85849155973
2010-09-30,-19288.089678232547
2010-10-08,285062.8375938888
2010-10-11,168181.94377128017
2010-10-12,56093.47618650701
2010-10-13,-8885.609762047408
2010-10-14,271525.40327438124
2010-10-15,-358740.67109782284
2010-10-18,54776.91101362294
2010-10-19,-4452.828734748528
2010-10-20,-85547.81741602052
2010-10-21,195564.53909319142
2010-10-22,-22175.39669939547
2010-10-25,136409.6958355377
2010-10-26,68912.37531704713
2010-10-27,91396.94842601262
2010-10-28,-14764.851878427799
2010-10-29,-12592.462811269437
2010-11-01,-5067.142331055838
2010-11-02,210544.76986650078
2010-11-03,-20355.624853234778
2010-11-04,53053.707048906996
2010-11-05,309240.86093186773
2010-11-08,117524.2753643694
2010-11-09,139061.61632640634
2010-11-10,-67738.88536103578
2010-11-11,-135192.5698123863
2010-11-12,-113080.57707264672
2010-11-15,-529220.1920844903
2010-11-16,187268.51371246914
2010-11-17,-369258.5310456546
2010-11-18,73878.58300376244
2010-11-19,165666.15530147988
2010-11-22,-3103.5131850779644
2010-11-23,19951.532785576597
2010-11-24,-107838.44343956486
2010-11-25,267659.3723890098
2010-11-26,56067.17102886897
2010-11-29,-35307.65583608556
2010-11-30,80469.02030338784
2010-12-01,-264476.2088242428
2010-12-02,156639.161847886
2010-12-03,10472.221498406367
2010-12-06,85280.87937910382
2010-12-07,-33645.41099728566
2010-12-08,195139.36952122423
2010-12-09,-188981.86730778668
2010-12-10,-264711.9223994112
2010-12-13,95163.59910800797
2010-12-14,153990.62140911567
2010-12-15,44563.605157027116
2010-12-16,-16279.249084619152
2010-12-17,23023.77626841283
2010-12-20,24642.357275055725
2010-12-21,-115627.44290710676
2010-12-22,295114.3515910654
2010-12-23,-77354.01562210725
2010-12-24,-125289.68550893276
2010-12-27,-13552.291705508009
2010-12-28,-307976.2628849113
2010-12-29,-212356.36835025984
2010-12-30,36382.607445713984
2010-12-31,-5841.245888460639
2011-01-04,185149.8910632565
2011-01-05,133104.59074220355
2011-01-06,-17930.67461099335
2011-01-07,-48915.80304751441
2011-01-10,85994.14644658365
2011-01-11,-130723.23136721559
2011-01-12,237848.08813021542
2011-01-13,49493.131064242785
2011-01-14,-86090.84999544713
2011-01-17,-94270.19362849908
2011-01-18,-378786.08647539397
2011-01-19,46466.6049599311
2011-01-20,279283.6756080937
2011-01-21,-185823.62813255974
2011-01-24,166067.8346404007
2011-01-25,-65600.09219798555
2011-01-26,-189888.76612031093
2011-01-27,13069.044089264831
2011-01-28,168933.64296725683
2011-01-31,11152.831954066009
2011-02-01,101713.88626346269
